OEMNumber,ProductType,ReferenceNumber,Xerox - SourceWell Eligible Customers,Xerox - SIP Program for Authorized DTP Partners,Xerox - 2024A4GrowthPricing,Xerox - Multiple Dealers / NASPO Eligible Dealers Only,Xerox - Allied Business Solutions / Church of Jesus Christ Of Latter Day Saints - A3,Xerox - Allied Business Solutions / Church of Jesus Christ Of Latter Day Saints - A4,Xerox - Allied Business Solutions / Church of Jesus Christ Of Latter Day Saints - LP,Xerox - SIP Lexmark Program,Xerox - Lexmark CX963/XSE Demo Offering for All AOM Authorized Partners,Xerox - AOM HW Level 7 IR,Xerox - AOM Light Production HW - Level 7
"PSERIEANLYST","Service Plan","1348802","","","","","","","","","","993.53",""
"PX300/ENG","Mono Laser","1361446","","","","14,954.06","","","","","","","14,250.58"
"PX300INANLYST","Service Plan","1361861","","","","","","","","","","1,490.29",""
"PX300INTG","Accessories","1361281","","","","6,345.12","","","","","","6,165.09","6,047.20"
"PX300INTRN","Service Plan","1361862","","","","","","","","","","662.35",""
"PX300STANLYST","Service Plan","1361863","","","","","","","","","","1,490.29",""
"PX300STND","Accessories","1361283","","","","10,538.41","","","","","","10,238.72","10,042.95"
"PX300STTRN","Service Plan","1361864","","","","","","","","","","993.53",""
"PX500/ENG","Mono Laser","1361602","","","","","","","","","","","40,838.64"
"PX500PRM","Accessories","1361285","","","","","","","","","","44,053.40","43,211.04"
"PX500PRMANYLST","Service Plan","1361865","","","","","","","","","","3,311.76",""
"PX500PRMTRN","Service Plan","1361866","","","","","","","","","","1,655.88",""
"PX500PRO","Accessories","1361287","","","","","","","","","","19,371.32","19,000.91"
"PX500PROANYLST","Service Plan","1361867","","","","","","","","","","3,311.76",""
"PX500PROTRN","Service Plan","1361868","","","","","","","","","","1,655.88",""
"STNDFIERY","Accessories","1342652","10,101.54","","","10,501.53","10,210.17","","","","","9,995.73",""
"V180EFIANLYST","Service Plan","1348991","","","","","","","","","","969.24",""
"V180EFITRN","Service Plan","1348992","","","","","","","","","","974.21",""
"V180EXBANLYST","Service Plan","1348993","","","","","","","","","","1,312.20",""
"V180EXBTRN","Service Plan","1348994","","","","","","","","","","1,530.91",""
"V180EXPANLYST","Service Plan","1348995","","","","","","","","","","1,312.20",""
"V180EXPTRN","Service Plan","1348996","","","","","","","","","","1,530.91",""
"V280INANLYST","Service Plan","1348997","","","","","","","","","","978.47",""
"V280INTRN","Service Plan","1348998","","","","","","","","","","983.49",""
"V280STANLYST","Service Plan","1348999","","","","","","","","","","1,324.70",""
"V280STTRN","Service Plan","1349000","","","","","","","","","","1,545.49",""
"V41NXPREMANYLST","Service Plan","1349001","","","","","","","","","","4,636.46",""
"V41NXPREMTRN","Service Plan","1349002","","","","","","","","","","3,833.61",""
"V41NXPROANYLST","Service Plan","1349003","","","","","","","","","","4,470.87",""
"V41NXPROTRN","Service Plan","1349004","","","","","","","","","","3,693.11",""
"VCMYKTRN","Service Plan","1349005","","","","","","","","","","561.64",""
"VS280INTG","Accessories","1349045","","","","5,145.14","","","","","","5,886.35",""
"VS4100","Color Laser","1348971","","","","41,373.62","","","","","","","40,626.29"
"VS41NXPRM","Accessories","1349047","","","","30,914.73","","","","","","38,541.73",""
"VS41NXPRO","Accessories","1349048","","","","16,104.89","","","","","","20,078.15",""
